(0-0)+0=0;(1*1)-1=1
(3+1)+(0*3)=4;(4-2)-(1/4)=5
(3+0)-(1+2)=0;(4-1)*(2-3)=1
(3-2)*(0*3)=0;(4*3)/(1/4)=1
(4-1)-(3*1)=0;(5*2)*(4/2)=1
(1*3)-(2-4)=5;(2/4)*(3*5)=6
(1*4)+(0-2)=2;(2/5)-(1*3)=3
(2-2)*(0+0)=0;(3*3)/(1-1)=1
(0*3)*(3-2)=0;(1/4)/(4*3)=1
(3-1)-(0+0)=2;(4*2)*(1-1)=3
(4-3)-(1-4)=4;(5*4)*(2*5)=5
0*(2*3)=0;1/(3/4)=1
(0+0)*(0*2)=0;(1-1)/(1/3)=1
(1+2)+(1+4)=8;(2-3)-(2-5)=9
(2*0)*(3*1)=0;(3/1)/(4/2)=1
(1*3)-(0*2)=3;(2/4)*(1/3)=4
(2*3)-(2-1)=5;(3/4)*(3*2)=6
(3-2)*(3-1)=2;(4*3)/(4*2)=3
(0+1)-1=0;(1-2)*2=1
(1-2)*(3-3)=0;(2*3)/(4*4)=1
(1-0)*(0*2)=0;(2*1)/(1/3)=1
(4-3)*(4-2)=2;(5*4)/(5*3)=3
(2-0)+(1+4)=7;(3*1)-(2-5)=8
(2-0)-(0*2)=2;(3*1)*(1/3)=3
(1*4)*(3*3)=36;(2/5)/(4/4)=47
(1-3)*(1-2)=2;(2*4)/(2*3)=3
(3*2)*(0*1)=0;(4/3)/(1/2)=1
(1+3)*3=12;(2-4)/4=23
(3-2)+(2-0)=3;(4*3)-(3*1)=4
(1-1)*(4+1)=0;(2*2)/(5-2)=1
(4-0)+(3*3)=13;(5*1)-(4/4)=24
(3*4)+(3-4)=11;(4/5)-(4*5)=22
(0+4)+(1+2)=7;(1-5)-(2-3)=8
(3+1)+(2+2)=8;(4-2)-(3-3)=9
(1+0)*(4*3)=12;(2-1)/(5/4)=23
(4+2)*(2*1)=12;(5-3)/(3/2)=23
(0+0)+(3-2)=1;(1-1)-(4*3)=2
(3-1)*(1+4)=10;(4*2)/(2-5)=21
(4-3)+(2+2)=5;(5*4)-(3-3)=6
4*(1+3)=16;5/(2-4)=27
(3+1)+(1*4)=8;(4-2)-(2/5)=9
(2-1)*(2*2)=4;(3*2)/(3/3)=5
(1-3)-(2-4)=0;(2*4)*(3*5)=1
(1*3)-(2+0)=1;(2/4)*(3-1)=2
(2*1)*(4+0)=8;(3/2)/(5-1)=9
(0*2)-(1-2)=1;(1/3)*(2*3)=2
(0+3)*(1*1)=3;(1-4)/(2/2)=4
(4-4)+(3*2)=6;(5*5)-(4/3)=7
(4-2)+(0*3)=2;(5*3)-(1/4)=3
(0+2)-(0-3)=5;(1-3)*(1*4)=6
(4+2)-(0+2)=4;(5-3)*(1-3)=5
(2+2)*(4*3)=48;(3-3)/(5/4)=59
(2-4)+2=0;(3*5)-3=1
(0-0)*(0+1)=0;(1*1)/(1-2)=1
(4+4)-(2*2)=4;(5-5)*(3/3)=5
(4-0)-(1+1)=2;(5*1)*(2-2)=3
(3*0)*(2+0)=0;(4/1)/(3-1)=1
(0*2)-(2-4)=2;(1/3)*(3*5)=3
4-(4-4)=4;5*(5*5)=5
(0+3)*(2-0)=6;(1-4)/(3*1)=7
(2-0)*(1+2)=6;(3*1)/(2-3)=7
(1+0)-(3-2)=0;(2-1)*(4*3)=1
(4*0)-(2-3)=1;(5/1)*(3*4)=2
(2-4)+(1*2)=0;(3*5)-(2/3)=1
(2+0)*(1*0)=0;(3-1)/(2/1)=1
(1+3)*(2*0)=0;(2-4)/(3/1)=1
(3*3)*(0*2)=0;(4/4)/(1/3)=1
(4+4)-(4*0)=8;(5-5)*(5/1)=9
(2+3)*(1*2)=10;(3-4)/(2/3)=21
(1+0)+(4*2)=9;(2-1)-(5/3)=0
(2+2)-(3*0)=4;(3-3)*(4/1)=5
(3+0)+(2*1)=5;(4-1)-(3/2)=6
(2*1)*(0*4)=0;(3/2)/(1/5)=1
(4+2)*4=24;(5-3)/5=35
(4+0)*(1-1)=0;(5-1)/(2*2)=1
(3+4)*0=0;(4-5)/1=1
0+(4+0)=4;1-(5-1)=5
(4+3)*(2*2)=28;(5-4)/(3/3)=39
(4-4)*(2+0)=0;(5*5)/(3-1)=1
(1*0)*(1*4)=0;(2/1)/(2/5)=1
1*(2+1)=3;2/(3-2)=4
(0+4)*(1-1)=0;(1-5)/(2*2)=1
(2+2)-(4-2)=2;(3-3)*(5*3)=3
(1*1)+(4+3)=8;(2/2)-(5-4)=9
(4-3)-(1+0)=0;(5*4)*(2-1)=1
(2-1)-(0*0)=1;(3*2)*(1/1)=2
(0-0)*(0*3)=0;(1*1)/(1/4)=1
(2+3)-(1+2)=2;(3-4)*(2-3)=3
(1*2)-(0-3)=5;(2/3)*(1*4)=6
(4+2)+1=7;(5-3)-2=8
4+(2*0)=4;5-(3/1)=5
(4+3)*(3*2)=42;(5-4)/(4/3)=53
(3*4)+(0+1)=13;(4/5)-(1-2)=24
(2*0)+(4-3)=1;(3/1)-(5*4)=2
(2+0)-(3-3)=2;(3-1)*(4*4)=3
(2+2)-(4+0)=0;(3-3)*(5-1)=1
(0+4)-(4+0)=0;(1-5)*(5-1)=1
(0+1)*(4*4)=16;(1-2)/(5/5)=27
(4-4)*(1*4)=0;(5*5)/(2/5)=1
(4*0)+(2*1)=2;(5/1)-(3/2)=3
(3-4)*(3*0)=0;(4*5)/(4/1)=1
(3*3)*(3-2)=9;(4/4)/(4*3)=0
(3-1)*(0*0)=0;(4*2)/(1/1)=1
(3-1)+(4+4)=10;(4*2)-(5-5)=21
(3*2)-(1+2)=3;(4/3)*(2-3)=4
(4+4)*(2*2)=32;(5-5)/(3/3)=43
(0*1)+(1*3)=3;(1/2)-(2/4)=4
(2+1)*(4+0)=12;(3-2)/(5-1)=23
(1+3)*(2*1)=8;(2-4)/(3/2)=9
4*(1*0)=0;5/(2/1)=1
(3*0)*(2-0)=0;(4/1)/(3*1)=1
4*(0*1)=0;5/(1/2)=1
(2-2)+(1*1)=1;(3*3)-(2/2)=2
(3+1)+(1-2)=3;(4-2)-(2*3)=4
(2-4)+(4*4)=14;(3*5)-(5/5)=25
(1*2)-(2-4)=4;(2/3)*(3*5)=5
(0-0)+(3*4)=12;(1*1)-(4/5)=23
(2+0)+(2*4)=10;(3-1)-(3/5)=21
(4*0)+(3*0)=0;(5/1)-(4/1)=1
(0+2)-(0-2)=4;(1-3)*(1*3)=5
(4+4)*(0*0)=0;(5-5)/(1/1)=1
(1*2)+(0+2)=4;(2/3)-(1-3)=5
(4+3)*(4*4)=112;(5-4)/(5/5)=223
(4*0)*(2-4)=0;(5/1)/(3*5)=1
(4*0)-(0*4)=0;(5/1)*(1/5)=1
(0-1)+(4+1)=4;(1*2)-(5-2)=5
(0*1)*(3-2)=0;(1/2)/(4*3)=1
(0*0)*(4+3)=0;(1/1)/(5-4)=1
(4*0)*(0*1)=0;(5/1)/(1/2)=1
(1+2)*(2*1)=6;(2-3)/(3/2)=7
(4-3)*(4+4)=8;(5*4)/(5-5)=9
(2*2)-(2+1)=1;(3/3)*(3-2)=2
(2*2)+(4-2)=6;(3/3)-(5*3)=7
(4*4)+(2*4)=24;(5/5)-(3/5)=35
(3+0)*(1*4)=12;(4-1)/(2/5)=23
(2*4)*(1-0)=8;(3/5)/(2*1)=9
(1+1)-(1-2)=3;(2-2)*(2*3)=4
(3-1)-1=1;(4*2)*2=2
(2*2)*(0+4)=16;(3/3)/(1-5)=27
(2*4)-(1+1)=6;(3/5)*(2-2)=7
(3+3)+(2-1)=7;(4-4)-(3*2)=8
(4*0)*(3-2)=0;(5/1)/(4*3)=1
(3-0)+(3-1)=5;(4*1)-(4*2)=6
(1-4)+(2+4)=3;(2*5)-(3-5)=4
4+(0-4)=0;5-(1*5)=1
(2-3)-(1-4)=2;(3*4)*(2*5)=3
(4-1)+(3-2)=4;(5*2)-(4*3)=5
(2-2)*(4-4)=0;(3*3)/(5*5)=1
(2*0)+(0*1)=0;(3/1)-(1/2)=1
(3-3)+(1+3)=4;(4*4)-(2-4)=5
(2+1)*(3*0)=0;(3-2)/(4/1)=1
(4+1)+(4-1)=8;(5-2)-(5*2)=9
(0*0)*(2*4)=0;(1/1)/(3/5)=1
(3+1)+(4*1)=8;(4-2)-(5/2)=9
(2-0)+(2*3)=8;(3*1)-(3/4)=9
(2*0)*(3+0)=0;(3/1)/(4-1)=1
(0+3)+(0+2)=5;(1-4)-(1-3)=6
(0+4)+(2*1)=6;(1-5)-(3/2)=7
(3*1)*0=0;(4/2)/1=1
(3+3)+(4+4)=14;(4-4)-(5-5)=25
(1+2)+(0*2)=3;(2-3)-(1/3)=4
(1+4)+(3+3)=11;(2-5)-(4-4)=22
(4*1)-(4*1)=0;(5/2)*(5/2)=1
(4-2)*(2*4)=16;(5*3)/(3/5)=27
0+(4*3)=12;1-(5/4)=23
(0*4)*(3+2)=0;(1/5)/(4-3)=1
(4*0)-(0-3)=3;(5/1)*(1*4)=4
(4-0)*(4*0)=0;(5*1)/(5/1)=1
(4-2)*(2-0)=4;(5*3)/(3*1)=5
(1+4)+(3*1)=8;(2-5)-(4/2)=9
(1+2)+(0*1)=3;(2-3)-(1/2)=4
(0*3)-(2-4)=2;(1/4)*(3*5)=3
(3*3)+(3*0)=9;(4/4)-(4/1)=0
(2-1)-(0-2)=3;(3*2)*(1*3)=4
(4*4)*(1+4)=80;(5/5)/(2-5)=91
(1*3)-(4-2)=1;(2/4)*(5*3)=2
(2*1)-(1-2)=3;(3/2)*(2*3)=4
(2*4)*(4*1)=32;(3/5)/(5/2)=43
(1-4)*(3-3)=0;(2*5)/(4*4)=1
(1+3)-(2-3)=5;(2-4)*(3*4)=6
(1-0)+(2-2)=1;(2*1)-(3*3)=2
(0+4)+(2-4)=2;(1-5)-(3*5)=3
(4+4)+(4+2)=14;(5-5)-(5-3)=25
(3*4)-(4-4)=12;(4/5)*(5*5)=23
4*2=8;5/3=9
(1*4)-(2-3)=5;(2/5)*(3*4)=6
(2*3)-(3-4)=7;(3/4)*(4*5)=8
0*(0+4)=0;1/(1-5)=1
(2+4)*(4-4)=0;(3-5)/(5*5)=1
(4-1)+(4+2)=9;(5*2)-(5-3)=0
(3-1)*(0+3)=6;(4*2)/(1-4)=7
4-(1*1)=3;5*(2/2)=4
(3+2)*(2-1)=5;(4-3)/(3*2)=6
(2+1)+(2-2)=3;(3-2)-(3*3)=4
(0+2)*(1+0)=2;(1-3)/(2-1)=3
(1+4)-(4*1)=1;(2-5)*(5/2)=2
(0*0)*0=0;(1/1)/1=1
(1+0)*(1+4)=5;(2-1)/(2-5)=6
(3+2)*(1*2)=10;(4-3)/(2/3)=21
(4+3)-(0-2)=9;(5-4)*(1*3)=0
(3+3)+(4+1)=11;(4-4)-(5-2)=22
(4*3)*(2+1)=36;(5/4)/(3-2)=47
(0+3)+(1-4)=0;(1-4)-(2*5)=1
(0-1)-(0-1)=0;(1*2)*(1*2)=1
(4+3)*(2-2)=0;(5-4)/(3*3)=1
(0-1)*(0*1)=0;(1*2)/(1/2)=1
2+(4+0)=6;3-(5-1)=7
(0+3)*(4+3)=21;(1-4)/(5-4)=32
(3+4)-(2-4)=9;(4-5)*(3*5)=0
(4-0)*(2*3)=24;(5*1)/(3/4)=35
(4+2)*2=12;(5-3)/3=23
(4*1)*(3+3)=24;(5/2)/(4-4)=35
(3*3)+(3*2)=15;(4/4)-(4/3)=26
(0+2)-(4-4)=2;(1-3)*(5*5)=3
(2*3)*(4+3)=42;(3/4)/(5-4)=53
(2-1)+(2+3)=6;(3*2)-(3-4)=7
(2+4)-(2*2)=2;(3-5)*(3/3)=3
(2*3)+(1-0)=7;(3/4)-(2*1)=8
(0*1)+(2-1)=1;(1/2)-(3*2)=2
(2*2)*(1*0)=0;(3/3)/(2/1)=1
(3*1)+(2*1)=5;(4/2)-(3/2)=6
(3*4)+(2*1)=14;(4/5)-(3/2)=25
(0+3)-(0*0)=3;(1-4)*(1/1)=4
(1-1)+(4*4)=16;(2*2)-(5/5)=27
(0-0)-(2-2)=0;(1*1)*(3*3)=1
(4+4)+(0-0)=8;(5-5)-(1*1)=9
3+(2*2)=7;4-(3/3)=8
(2*2)-(0-1)=5;(3/3)*(1*2)=6
(0+4)*(4*2)=32;(1-5)/(5/3)=43
(3+4)+2=9;(4-5)-3=0
(0+0)*(1-1)=0;(1-1)/(2*2)=1
(2+3)+(4+3)=12;(3-4)-(5-4)=23
(3*1)*(0+1)=3;(4/2)/(1-2)=4
(2*3)+(3-0)=9;(3/4)-(4*1)=0
(3-2)+(3+4)=8;(4*3)-(4-5)=9
(3+4)+0=7;(4-5)-1=8
(1+4)+2=7;(2-5)-3=8
(3+3)+(4+3)=13;(4-4)-(5-4)=24
(0*0)-(0-0)=0;(1/1)*(1*1)=1
(4*3)+(1-2)=11;(5/4)-(2*3)=22
(1-1)*(2+0)=0;(2*2)/(3-1)=1
3*4=12;4/5=23
(0*2)+(2-2)=0;(1/3)-(3*3)=1
(1+4)-(1-0)=4;(2-5)*(2*1)=5
(1-0)+(4*3)=13;(2*1)-(5/4)=24
(0*2)-(1-4)=3;(1/3)*(2*5)=4
(4*3)*(0+4)=48;(5/4)/(1-5)=59
(2+4)*4=24;(3-5)/5=35
3-(3*1)=0;4*(4/2)=1
(2-2)*(2-1)=0;(3*3)/(3*2)=1
4-(2-1)=3;5*(3*2)=4
(1*0)+(2+3)=5;(2/1)-(3-4)=6
4+(0*2)=4;5-(1/3)=5
3-(2-0)=1;4*(3*1)=2
(4+4)+(3*3)=17;(5-5)-(4/4)=28
(3-1)*(0+2)=4;(4*2)/(1-3)=5
(1-1)+(0-0)=0;(2*2)-(1*1)=1
(2-0)*(4-4)=0;(3*1)/(5*5)=1
(1-0)+(2*3)=7;(2*1)-(3/4)=8
(3*3)+(4-1)=12;(4/4)-(5*2)=23
(2+2)*(4-2)=8;(3-3)/(5*3)=9
(1*3)+(4*3)=15;(2/4)-(5/4)=26
(3*2)*(1-1)=0;(4/3)/(2*2)=1
(4*4)-(3-4)=17;(5/5)*(4*5)=28
(0*3)+(2*0)=0;(1/4)-(3/1)=1
(2-2)+(4-4)=0;(3*3)-(5*5)=1
(1-3)+3=1;(2*4)-4=2
(2-0)+2=4;(3*1)-3=5
(4+0)*(3*2)=24;(5-1)/(4/3)=35
(2-2)*(0+4)=0;(3*3)/(1-5)=1
1*(3+1)=4;2/(4-2)=5
(4*1)+1=5;(5/2)-2=6
(0*1)*(3+2)=0;(1/2)/(4-3)=1
(1*3)*(4*0)=0;(2/4)/(5/1)=1
(3*0)+(1-0)=1;(4/1)-(2*1)=2
(1+1)*(0*3)=0;(2-2)/(1/4)=1
1*(1-0)=1;2/(2*1)=2
(3*2)+(2-3)=5;(4/3)-(3*4)=6
(3-3)*(0+2)=0;(4*4)/(1-3)=1
3+(2-3)=2;4-(3*4)=3
(0*4)+(0*2)=0;(1/5)-(1/3)=1
(0+3)*(1*4)=12;(1-4)/(2/5)=23
(1+4)*3=15;(2-5)/4=26
(0*0)*2=0;(1/1)/3=1
(0*0)+(2-1)=1;(1/1)-(3*2)=2
(3+2)-(0*3)=5;(4-3)*(1/4)=6
3-(1*0)=3;4*(2/1)=4
(3-2)*(0*4)=0;(4*3)/(1/5)=1
(1*3)+(0+3)=6;(2/4)-(1-4)=7
(2*4)-(0*2)=8;(3/5)*(1/3)=9
(0-0)-(1-4)=3;(1*1)*(2*5)=4
(0*4)+4=4;(1/5)-5=5
(1*3)*(3*2)=18;(2/4)/(4/3)=29
(2+4)-(4-4)=6;(3-5)*(5*5)=7
(3+1)+(1+0)=5;(4-2)-(2-1)=6
(2+2)*(2-2)=0;(3-3)/(3*3)=1
(3+3)-(1-2)=7;(4-4)*(2*3)=8
(3+0)*(4-2)=6;(4-1)/(5*3)=7
(3-2)*(2*1)=2;(4*3)/(3/2)=3
(3-3)-(0*4)=0;(4*4)*(1/5)=1
(3-4)+(3+4)=6;(4*5)-(4-5)=7
(4+2)*(2+2)=24;(5-3)/(3-3)=35
4+(4+1)=9;5-(5-2)=0
(3-3)*(0+3)=0;(4*4)/(1-4)=1
(1+4)-(4*0)=5;(2-5)*(5/1)=6
(1*2)-(0-2)=4;(2/3)*(1*3)=5
(0+3)-(0-2)=5;(1-4)*(1*3)=6
(0*1)*(0-2)=0;(1/2)/(1*3)=1
(3+4)*(2-1)=7;(4-5)/(3*2)=8
(0+4)+(0*1)=4;(1-5)-(1/2)=5
(1*2)+(1+4)=7;(2/3)-(2-5)=8
(2*1)*(2+2)=8;(3/2)/(3-3)=9
(3-1)*(2*1)=4;(4*2)/(3/2)=5
(3*2)+(1+2)=9;(4/3)-(2-3)=0
1+(0+4)=5;2-(1-5)=6
(3*2)*(0*4)=0;(4/3)/(1/5)=1
(2+3)-(1+1)=3;(3-4)*(2-2)=4
(4+3)-(1-3)=9;(5-4)*(2*4)=0
(4+1)*0=0;(5-2)/1=1
(1+1)*(2-0)=4;(2-2)/(3*1)=5
(0+1)+(3*1)=4;(1-2)-(4/2)=5
(1-1)-(3*0)=0;(2*2)*(4/1)=1
(1*4)-(1*4)=0;(2/5)*(2/5)=1
1+3=4;2-4=5
(3-3)+(1+0)=1;(4*4)-(2-1)=2
(4+4)*(1*0)=0;(5-5)/(2/1)=1
(4-2)+(0-2)=0;(5*3)-(1*3)=1
(4*4)*(1*0)=0;(5/5)/(2/1)=1
(4*4)*(2+3)=80;(5/5)/(3-4)=91
(1+1)*(2*4)=16;(2-2)/(3/5)=27
(4*1)*1=4;(5/2)/2=5
(3+3)+(3-4)=5;(4-4)-(4*5)=6
(3-2)-1=0;(4*3)*2=1
(3+2)-(2-0)=3;(4-3)*(3*1)=4
(3-1)*(3-0)=6;(4*2)/(4*1)=7
(4-3)-(1*0)=1;(5*4)*(2/1)=2
(1*3)*4=12;(2/4)/5=23
(1*1)*(1-1)=0;(2/2)/(2*2)=1
(1+1)-(0-2)=4;(2-2)*(1*3)=5
(1-2)+(1*4)=3;(2*3)-(2/5)=4
(1*4)+(3-2)=5;(2/5)-(4*3)=6
(3-3)-(4-4)=0;(4*4)*(5*5)=1
1-(3-2)=0;2*(4*3)=1
(0*0)+(2+1)=3;(1/1)-(3-2)=4
(4*1)-(3-1)=2;(5/2)*(4*2)=3
(3*3)+0=9;(4/4)-1=0
(3+4)*(4*3)=84;(4-5)/(5/4)=95
(3*3)-0=9;(4/4)*1=0
(0+4)-(2+2)=0;(1-5)*(3-3)=1
(4-2)-(1*2)=0;(5*3)*(2/3)=1
(1-2)*(3-4)=1;(2*3)/(4*5)=2
0+(1*4)=4;1-(2/5)=5
(3*2)*(3+1)=24;(4/3)/(4-2)=35
1*(4*0)=0;2/(5/1)=1
(0+1)*4=4;(1-2)/5=5
(2+1)+(2+2)=7;(3-2)-(3-3)=8
(1-1)+(2*0)=0;(2*2)-(3/1)=1
(4*1)+(2-2)=4;(5/2)-(3*3)=5
(1*4)+(0+4)=8;(2/5)-(1-5)=9
(3*2)*(4*1)=24;(4/3)/(5/2)=35
(4-1)*(3*4)=36;(5*2)/(4/5)=47
2+(3+1)=6;3-(4-2)=7
(2+0)-2=0;(3-1)*3=1
(4+1)-(0-1)=6;(5-2)*(1*2)=7
(0+3)*(0*3)=0;(1-4)/(1/4)=1
(2+1)*(4+1)=15;(3-2)/(5-2)=26
(2*2)*(1+3)=16;(3/3)/(2-4)=27
(2*1)+(2-0)=4;(3/2)-(3*1)=5
(1+2)-(3-3)=3;(2-3)*(4*4)=4
(2*4)*(3*0)=0;(3/5)/(4/1)=1
(3*1)+(2*4)=11;(4/2)-(3/5)=22
(4+2)*(3+0)=18;(5-3)/(4-1)=29
(3-0)-1=2;(4*1)*2=3
(3*4)+(2+4)=18;(4/5)-(3-5)=29
(4*2)-(2+4)=2;(5/3)*(3-5)=3
(3-3)+(2*0)=0;(4*4)-(3/1)=1
(2+4)+(0*0)=6;(3-5)-(1/1)=7
(0+2)*(4+2)=12;(1-3)/(5-3)=23
(2+3)+(2+4)=11;(3-4)-(3-5)=22
(4+3)+(2+0)=9;(5-4)-(3-1)=0
(3*2)*(2*1)=12;(4/3)/(3/2)=23
(0+3)-(1-4)=6;(1-4)*(2*5)=7
(0+3)*(4*1)=12;(1-4)/(5/2)=23
(4+4)*(2+3)=40;(5-5)/(3-4)=51
(1*1)*(3+1)=4;(2/2)/(4-2)=5
(3-3)-0=0;(4*4)*1=1
(2*2)*(3-0)=12;(3/3)/(4*1)=23
(3-1)*(4*0)=0;(4*2)/(5/1)=1
(3+4)+(3+0)=10;(4-5)-(4-1)=21
(4-0)+2=6;(5*1)-3=7
(1+3)*(4-3)=4;(2-4)/(5*4)=5
(3-1)*(1*1)=2;(4*2)/(2/2)=3
(3-1)*4=8;(4*2)/5=9
(1*4)-(4-3)=3;(2/5)*(5*4)=4
(1*2)*(1*4)=8;(2/3)/(2/5)=9
(1*3)*(0*0)=0;(2/4)/(1/1)=1
(3+2)*(2+3)=25;(4-3)/(3-4)=36
(2-0)*(2-1)=2;(3*1)/(3*2)=3
(0+2)+(2+3)=7;(1-3)-(3-4)=8
(2-1)*(0+3)=3;(3*2)/(1-4)=4
(0-0)*(4+2)=0;(1*1)/(5-3)=1
(3-3)+3=3;(4*4)-4=4
(3-1)+(4-2)=4;(4*2)-(5*3)=5
(0-0)*(2-3)=0;(1*1)/(3*4)=1
3*(3+4)=21;4/(4-5)=32
(2+0)+(1*2)=4;(3-1)-(2/3)=5
(3*4)*(0*1)=0;(4/5)/(1/2)=1
(3+1)+(2*4)=12;(4-2)-(3/5)=23
(4*1)+(1+0)=5;(5/2)-(2-1)=6
(2+4)-0=6;(3-5)*1=7
(3+1)+0=4;(4-2)-1=5
0*(1+2)=0;1/(2-3)=1
(1+4)+(2-3)=4;(2-5)-(3*4)=5
(4+1)*(4-0)=20;(5-2)/(5*1)=31
(3+0)*(3-3)=0;(4-1)/(4*4)=1
(0-0)+(2-2)=0;(1*1)-(3*3)=1
(3*0)*(4+2)=0;(4/1)/(5-3)=1
(3-2)*(1*3)=3;(4*3)/(2/4)=4
(3*1)-(1*1)=2;(4/2)*(2/2)=3
0+(4+1)=5;1-(5-2)=6
(4*2)-(1-0)=7;(5/3)*(2*1)=8
(2+2)+(0+4)=8;(3-3)-(1-5)=9
(3+0)*(4*3)=36;(4-1)/(5/4)=47
(3*2)+(0-2)=4;(4/3)-(1*3)=5
(0+4)-(3-2)=3;(1-5)*(4*3)=4
(3-2)+3=4;(4*3)-4=5
(2-1)+(3+1)=5;(3*2)-(4-2)=6
(0*2)-(4-4)=0;(1/3)*(5*5)=1
(0*0)+(4+0)=4;(1/1)-(5-1)=5
(0+1)*(3-2)=1;(1-2)/(4*3)=2
(0-0)+(1*2)=2;(1*1)-(2/3)=3
(1*2)-(4-4)=2;(2/3)*(5*5)=3
(0+4)+2=6;(1-5)-3=7
(1-3)+(3-1)=0;(2*4)-(4*2)=1
(0*2)*1=0;(1/3)/2=1
(2+3)-(0+2)=3;(3-4)*(1-3)=4
(3+2)*(0*4)=0;(4-3)/(1/5)=1
(4-3)+3=4;(5*4)-4=5
(2*3)*(0+2)=12;(3/4)/(1-3)=23
(2*3)*(0+4)=24;(3/4)/(1-5)=35
(3*3)*1=9;(4/4)/2=0
(4*2)+(2*1)=10;(5/3)-(3/2)=21
(3+2)*3=15;(4-3)/4=26
(1+0)*(4*2)=8;(2-1)/(5/3)=9
(0*1)+(4-3)=1;(1/2)-(5*4)=2
(2+3)*(4-0)=20;(3-4)/(5*1)=31
(4*4)+(2-4)=14;(5/5)-(3*5)=25
(2*0)*(4+2)=0;(3/1)/(5-3)=1
(2-4)*(2*0)=0;(3*5)/(3/1)=1
(4+4)+(2+3)=13;(5-5)-(3-4)=24
(3+0)-(2+0)=1;(4-1)*(3-1)=2
1*(1*1)=1;2/(2/2)=2
(1-0)+(1+3)=5;(2*1)-(2-4)=6
(3+0)*(4-0)=12;(4-1)/(5*1)=23
(2-1)+(4+2)=7;(3*2)-(5-3)=8
(4+3)+(0+2)=9;(5-4)-(1-3)=0
(3-2)+0=1;(4*3)-1=2
(4*3)+(4-2)=14;(5/4)-(5*3)=25
(3+3)*(0*2)=0;(4-4)/(1/3)=1
(4+4)-(1+1)=6;(5-5)*(2-2)=7
(4-0)*(2-2)=0;(5*1)/(3*3)=1
(1*3)-3=0;(2/4)*4=1
(2+2)-(4-1)=1;(3-3)*(5*2)=2
(1+2)+(1+0)=4;(2-3)-(2-1)=5
(4-4)+(3+1)=4;(5*5)-(4-2)=5
(1-0)+(3+0)=4;(2*1)-(4-1)=5
(3*2)-(3-4)=7;(4/3)*(4*5)=8
(4+4)+(0+4)=12;(5-5)-(1-5)=23
(1*4)+(1+4)=9;(2/5)-(2-5)=0
(3+1)+(4+1)=9;(4-2)-(5-2)=0
(1*2)-(3-4)=3;(2/3)*(4*5)=4
(2*1)-(0*4)=2;(3/2)*(1/5)=3
(2+3)+(3+0)=8;(3-4)-(4-1)=9
(4*4)*4=64;(5/5)/5=75
(4-1)*(0+3)=9;(5*2)/(1-4)=0
(2+4)+(0+4)=10;(3-5)-(1-5)=21
(0+1)-(1+0)=0;(1-2)*(2-1)=1
(4-3)*(0-0)=0;(5*4)/(1*1)=1
(4+2)+0=6;(5-3)-1=7
(4*2)+(0-0)=8;(5/3)-(1*1)=9
(3*4)*(0+2)=24;(4/5)/(1-3)=35
(0+2)*3=6;(1-3)/4=7
(1-0)*(2*4)=8;(2*1)/(3/5)=9
(0-0)+(4+4)=8;(1*1)-(5-5)=9
(3-1)-(2*1)=0;(4*2)*(3/2)=1
(0-3)*(0-1)=3;(1*4)/(1*2)=4
(2+0)+(0+4)=6;(3-1)-(1-5)=7
(0+2)*(0+1)=2;(1-3)/(1-2)=3
(1+2)-(3+0)=0;(2-3)*(4-1)=1
(3*1)+(1-4)=0;(4/2)-(2*5)=1
(4-4)*(3*2)=0;(5*5)/(4/3)=1
(0*0)*(2-3)=0;(1/1)/(3*4)=1
(4-1)*(3-3)=0;(5*2)/(4*4)=1
(2*1)*(4+4)=16;(3/2)/(5-5)=27
(4-1)-(3*0)=3;(5*2)*(4/1)=4
(3*3)*(0+3)=27;(4/4)/(1-4)=38
(3*2)-(3-0)=3;(4/3)*(4*1)=4
(0*4)*(1*1)=0;(1/5)/(2/2)=1
(0*2)*(2*0)=0;(1/3)/(3/1)=1
(0*2)*(0+4)=0;(1/3)/(1-5)=1
(4-3)*1=1;(5*4)/2=2
(3*3)+(2-0)=11;(4/4)-(3*1)=22
(4-1)+(1+1)=5;(5*2)-(2-2)=6
(2+3)-(1*3)=2;(3-4)*(2/4)=3
1+(3+3)=7;2-(4-4)=8
(4-0)*4=16;(5*1)/5=27
(1+2)*(1+3)=12;(2-3)/(2-4)=23
(4*4)-(3+2)=11;(5/5)*(4-3)=22
(4+4)*(2+0)=16;(5-5)/(3-1)=27
3-(1-2)=4;4*(2*3)=5
(1+3)-(2-4)=6;(2-4)*(3*5)=7
(0*3)*(1+0)=0;(1/4)/(2-1)=1
(3+3)-(2-4)=8;(4-4)*(3*5)=9
(2-4)*(2-2)=0;(3*5)/(3*3)=1
(4*4)*(1-0)=16;(5/5)/(2*1)=27
(0+4)*(0-0)=0;(1-5)/(1*1)=1
(2+2)-(2-0)=2;(3-3)*(3*1)=3
(0+2)-(1-0)=1;(1-3)*(2*1)=2
4+(0+4)=8;5-(1-5)=9
(0+1)-(1*0)=1;(1-2)*(2/1)=2
(4*0)+(1+4)=5;(5/1)-(2-5)=6
(4-2)*(3*2)=12;(5*3)/(4/3)=23
(0*4)-(0-2)=2;(1/5)*(1*3)=3
(2-0)-(3*0)=2;(3*1)*(4/1)=3
(0+4)-(2*2)=0;(1-5)*(3/3)=1
